CUST_ID,BALANCE,BALANCE_FREQUENCY,PURCHASES,ONEOFF_PURCHASES,Visualizzazioni di pagina,Visualizzazioni di pagina uniche,Tempo medio sulla pagina,Accessi,Gender,Age,Device,,,,,,
C10126,1464.324632,1,1174.39,1174.39,1267,883,163,861,0,2,2,,,,,,
C10127,2114.158683,1,5580.85,0,1267,883,164,861,0,2,2,,,,,,
C10128,2876.396444,1,0,0,1267,883,165,861,0,2,2,,,,,,
C10130,14224.11541,1,0,0,1267,883,166,861,0,2,2,,,,,,
C10131,2392.917738,1,12462.44,12462.44,1267,883,167,861,0,2,2,,,,,,
C10132,57.453201,0.75,0,0,1267,883,168,861,0,2,2,,,,,,
C10133,4245.855092,1,1957.3,1077.3,1267,883,169,861,0,2,2,,,,,,
C10134,11167.23403,1,150.64,150.64,1267,883,170,861,0,2,2,,,,,,
C10135,69.405545,0.090909,0,0,1267,883,171,861,0,2,2,,,,,,
C10136,116.654149,0.272727,907,907,1267,883,172,861,0,2,2,,,,,,
C10137,4637.848144,1,1271.12,351.54,1267,883,173,861,0,2,2,,,,,,
C10138,24.28497,0.636364,250.6,0,1267,883,174,861,0,2,2,,,,,,
C10139,9354.06045,1,796.33,796.33,1267,883,175,861,0,2,2,,,,,,
C10140,231.108995,1,440,0,1267,883,176,861,0,2,2,,,,,,
C10141,1562.633343,1,1330.62,1169.63,1267,883,177,861,0,2,2,,,,,,
C10142,2494.868559,1,5491.79,1390.5,1267,883,178,861,0,2,2,,,,,,
C10143,706.132889,1,897.86,714.52,1267,883,179,861,0,2,2,,,,,,
C10144,19043.13856,1,22009.92,9449.07,1267,883,180,861,0,2,2,,,,,,
C10145,2235.103331,1,720.6,720.6,1267,883,181,861,0,2,2,,,,,,
C10146,947.13081,1,197.06,148.66,1267,883,182,861,0,2,2,,,,,,
C10147,764.042156,0.818182,0,0,1267,883,183,861,0,2,2,,,,,,
C10148,5347.814547,1,0,0,1267,883,184,861,0,2,2,,,,,,
C10149,10598.46777,1,2084.48,1300.48,1267,883,185,861,0,2,2,,,,,,
C10150,2163.678757,1,5779.36,3436.53,1267,883,186,861,0,2,2,,,,,,
C10151,3057.400553,1,1025,1025,1267,883,187,861,0,2,2,,,,,,
C10152,19.354559,0.909091,689.7,0,1267,883,188,861,0,2,2,,,,,,
C10153,264.811595,1,28.65,28.65,1267,883,189,861,0,2,2,,,,,,
C10154,1108.22253,0.909091,944.96,164.96,1267,883,190,861,0,2,2,,,,,,
C10155,906.573724,1,1039.2,80,1267,883,191,861,0,2,2,,,,,,
C10156,7679.62904,1,4059.93,0,1267,883,192,861,0,2,2,,,,,,
C10157,1523.911458,1,4075.37,3322.28,1267,883,193,861,0,2,2,,,,,,
C10158,49.206256,1,870.24,0,1267,883,194,861,0,2,2,,,,,,
C10159,13673.07961,1,9792.23,3959.81,1267,883,195,861,0,2,2,,,,,,
C10160,106.455975,0.636364,2463.12,789.53,1267,883,196,861,0,2,2,,,,,,
C10161,119.760904,0.363636,1859.34,0,1267,883,197,861,0,2,2,,,,,,
C10162,5837.105453,1,3488.49,3262.25,1267,883,198,861,0,2,2,,,,,,
C10163,1734.510004,1,0,0,1267,883,199,861,0,2,2,,,,,,
C10164,2765.748281,1,7283.31,5087.31,1267,883,200,861,0,2,2,,,,,,
C10165,1046.37041,1,295,295,1267,883,201,861,0,2,2,,,,,,
C10166,2737.367678,1,0,0,1267,883,202,861,0,2,2,,,,,,
C10167,4014.818167,1,0,0,1267,883,203,861,0,2,2,,,,,,
C10168,871.568977,1,648.22,115,1267,883,204,861,0,2,2,,,,,,
C10169,1610.040203,1,557.19,525.64,1267,883,205,861,0,2,2,,,,,,
C10170,114.593817,1,469.98,0,1267,883,206,861,0,2,2,,,,,,
C10171,5800.587339,1,0,0,1267,883,207,861,0,2,2,,,,,,
C10172,823.103926,0.363636,131.64,0,1267,883,208,861,0,2,2,,,,,,
C10173,595.677343,1,5078.14,4330.53,1267,883,209,861,0,2,2,,,,,,
C10174,1128.124563,1,924.6,0,1267,883,210,861,0,2,2,,,,,,
C10175,349.441102,1,1975.4,1393.5,1267,883,211,861,0,2,2,,,,,,
C10176,840.804076,0.666667,0,0,1267,883,212,861,0,2,2,,,,,,
C10177,975.942008,1,10221.35,7141.38,1267,883,213,861,0,2,2,,,,,,
C10178,23.111088,0.363636,300,0,1267,883,214,861,0,2,2,,,,,,
C10179,2187.732265,0.857143,0,0,1267,883,215,861,0,2,2,,,,,,
C10180,11972.01104,1,5715,4685.54,1267,883,216,861,0,2,2,,,,,,
C10181,1608.451822,1,0,0,1267,883,217,861,0,2,2,,,,,,
C10182,1872.926275,1,766.61,766.61,1267,883,218,861,0,2,2,,,,,,
C10183,2933.240476,1,0,0,1267,883,219,861,0,2,2,,,,,,
C10184,336.799916,1,3535.8,1614.7,1267,883,220,861,0,2,2,,,,,,
C10185,36.236312,0.454545,256.11,0,1267,883,221,861,0,2,2,,,,,,
C10186,903.29781,1,2697.48,150.5,1267,883,222,861,0,2,2,,,,,,
C10187,0,0,23,0,1267,883,223,861,0,2,2,,,,,,
C10188,2881.253586,1,117,0,1267,883,224,861,0,2,2,,,,,,
C10189,5.465999,0.090909,196.81,173,1267,883,225,861,0,2,2,,,,,,
C10190,117.442684,1,653.73,493,1267,883,226,861,0,2,2,,,,,,
C10191,168.522709,0.818182,2009.05,0,1267,883,227,861,0,2,2,,,,,,
C10192,1706.014379,1,147.78,0,1267,883,228,861,0,2,2,,,,,,
C10193,874.583247,1,516.54,159.07,1267,883,229,861,0,2,2,,,,,,
C10194,861.001207,1,969.56,969.56,1267,883,230,861,0,2,2,,,,,,
C10196,966.251742,1,311.45,311.45,1267,883,231,861,0,2,2,,,,,,
C10197,38.615644,0.727273,280.4,280.4,1267,883,232,861,0,2,2,,,,,,
C10198,189.687964,1,66.14,66.14,1267,883,233,861,0,2,2,,,,,,
C10199,40.417255,0.363636,79.2,79.2,1267,883,234,861,0,2,2,,,,,,
C10200,5462.897068,1,1453.32,0,1267,883,235,861,0,2,2,,,,,,
C10201,3983.923705,1,756.54,756.54,1267,883,236,861,0,2,2,,,,,,
C10202,5588.846272,1,3507.35,603.75,1267,883,237,861,0,2,2,,,,,,
C10203,281.170378,0.818182,3163.69,56.8,1267,883,238,861,0,2,2,,,,,,
C10204,130.251538,0.909091,1343.19,1082.79,1267,883,239,861,0,2,2,,,,,,
C10205,1973.814964,1,873,873,1267,883,240,861,0,2,2,,,,,,
C10206,5698.539876,1,47.55,0,1267,883,241,861,0,2,2,,,,,,
C10207,43.103899,0.454545,370,370,1267,883,242,861,0,2,2,,,,,,
C10208,566.546048,0.909091,405.75,313.75,1267,883,243,861,0,2,2,,,,,,
C10209,24.527253,0.909091,261.64,0,1267,883,244,861,0,2,2,,,,,,
C10211,8350.145568,1,1989.28,842.8,1267,883,245,861,0,2,2,,,,,,
C10212,4559.779234,1,10848.5,8208,1267,883,246,861,0,2,2,,,,,,
C10213,2.67713,0.090909,43.39,0,1267,883,247,861,0,2,2,,,,,,
C10214,1570.682346,1,645.32,645.32,1267,883,248,861,0,2,2,,,,,,
C10215,7201.736985,1,987.1,862.1,1267,883,249,861,0,2,2,,,,,,
C10216,6467.885013,1,1464.14,978.71,1267,883,250,861,0,2,2,,,,,,
C10217,64.080909,0.454545,927,600,1267,883,251,861,0,2,2,,,,,,
C10218,5635.860679,1,393.62,153.72,1267,883,252,861,0,2,2,,,,,,
C10219,3670.50596,1,965.5,876.13,1267,883,253,861,0,2,2,,,,,,
C10220,2458.376257,0.818182,0,0,1267,883,254,861,0,2,2,,,,,,
C10221,768.004936,1,336.41,336.41,1267,883,255,861,0,2,2,,,,,,
C10222,75.647479,0.727273,540,0,1267,883,256,861,0,2,2,,,,,,
C10223,2.433254,0.181818,36,0,1267,883,257,861,0,2,2,,,,,,
C10224,1121.730896,1,878.52,103.1,1267,883,258,861,0,2,2,,,,,,
C10226,7.56809,0.545455,144.26,67.08,1267,883,259,861,0,2,2,,,,,,
C10227,2053.441598,1,493.85,441.35,1267,883,260,861,0,2,2,,,,,,
C10228,2422.311938,1,4490.69,3456.25,1267,883,261,861,0,2,2,,,,,,
C10229,9047.621884,1,11188.62,6099.16,1267,883,262,861,0,2,2,,,,,,
C10230,3061.213971,1,1829.2,1792.7,1267,883,263,861,0,2,2,,,,,,
C10231,41.642389,0.857143,75.99,75.99,1267,883,264,861,0,2,2,,,,,,
C10232,5431.622968,1,1824.16,1598.56,1267,883,265,861,0,2,2,,,,,,
C10233,6571.484039,1,9325.22,9325.22,1267,883,266,861,0,2,2,,,,,,
C10234,28.461629,1,100,100,1267,883,267,861,0,2,2,,,,,,
C10235,4178.625215,1,1431.89,430.69,1267,883,268,861,0,2,2,,,,,,
C10236,3019.019487,1,2260.41,1356.33,1267,883,269,861,0,2,2,,,,,,
C10237,1.045584,0.333333,0,0,1267,883,270,861,0,2,2,,,,,,
C10238,2723.369217,0.909091,10410.49,1158.84,1267,883,271,861,0,2,2,,,,,,
C10239,1070.999446,1,990.7,482,1267,883,272,861,0,2,2,,,,,,
C10240,279.608696,1,3034.92,0,1267,883,273,861,0,2,2,,,,,,
C10241,1255.901821,1,1038.81,1038.81,1267,883,274,861,0,2,2,,,,,,
C10242,2229.857287,1,45.65,45.65,1267,883,275,861,0,2,2,,,,,,
C10243,2363.489077,1,2641.98,1386.3,1267,883,276,861,0,2,2,,,,,,
C10244,4014.388265,1,1189.52,1189.52,1267,883,277,861,0,2,2,,,,,,
C10245,7623.224897,1,300,0,1267,883,278,861,0,2,2,,,,,,
C10246,3421.571922,1,126.69,42.88,1267,883,279,861,0,2,2,,,,,,
C10247,48.898611,0.545455,247.09,0,1267,883,280,861,0,2,2,,,,,,
C10248,1874.716289,1,301.1,83,1267,883,281,861,0,2,2,,,,,,
C10249,3215.511032,0.818182,1112.2,1112.2,1267,883,282,861,0,2,2,,,,,,
C10250,237.235398,0.636364,2410.07,1670.5,1267,883,283,861,0,2,2,,,,,,
C10251,1272.927288,1,5350.19,4783.34,1267,883,284,861,0,2,2,,,,,,
C10252,558.476701,1,630.03,630.03,1267,883,285,861,0,2,2,,,,,,
C10253,2814.207626,1,3197.24,2080.02,1267,883,286,861,0,2,2,,,,,,
C10254,8.061012,0.363636,133,0,1267,883,287,861,0,2,2,,,,,,
C10255,435.862142,1,1646.16,1023.42,1267,883,288,861,0,2,2,,,,,,
C10256,6.390383,1,79.66,0,1267,883,289,861,0,2,2,,,,,,
C10257,9612.21512,1,319.92,0,1267,883,290,861,0,2,2,,,,,,
C10258,7938.559134,1,3677.52,3543.73,1267,883,291,861,0,2,2,,,,,,
C10259,2344.478291,1,1041.63,1041.63,1267,883,292,861,0,2,2,,,,,,
C10260,996.48222,1,675.96,0,1267,883,293,861,0,2,2,,,,,,
C10261,19.508047,1,193.14,0,1267,883,294,861,0,2,2,,,,,,
C10262,185.640313,1,1703.23,1703.23,1267,883,295,861,0,2,2,,,,,,
C10263,5335.302925,1,0,0,1267,883,296,861,0,2,2,,,,,,
C10265,22.189283,0.363636,234.16,0,1267,883,297,861,0,2,2,,,,,,
C10266,5.871769,0.818182,29.68,29.68,1267,883,298,861,0,2,2,,,,,,
C10267,1049.496471,1,1322.67,1096.71,1267,883,299,861,0,2,2,,,,,,
C10269,5570.190127,1,1607.88,0,1267,883,300,861,0,2,2,,,,,,
C10270,1668.591831,1,0,0,1267,883,301,861,0,2,2,,,,,,
C10271,2224.590946,0.818182,3183,3183,1267,883,302,861,0,2,2,,,,,,
C10272,2903.781184,1,3014.23,1340.34,1267,883,303,861,0,2,2,,,,,,
C10273,2041.480046,1,7323.38,4944.88,1267,883,304,861,0,2,2,,,,,,
C10274,7755.698607,1,8533.54,4072.76,1267,883,305,861,0,2,2,,,,,,
C10275,614.263149,0.727273,408.93,74.8,1267,883,306,861,0,2,2,,,,,,
C10276,8097.334733,1,3999.92,200,1267,883,307,861,0,2,2,,,,,,
C10277,1082.33027,1,2980.46,657.78,1267,883,308,861,0,2,2,,,,,,
C10278,2734.66412,1,560.73,560.73,1267,883,309,861,0,2,2,,,,,,
C10279,80.708806,1,569.9,569.9,1267,883,310,861,0,2,2,,,,,,
C10280,2554.525229,1,6186.77,6099.08,1267,883,311,861,0,2,2,,,,,,
C10281,535.947221,1,4550.81,3016.98,1267,883,312,861,0,2,2,,,,,,
C10282,3905.365959,1,150.8,150.8,1267,883,313,861,0,2,2,,,,,,
C10283,156.278339,1,1385.1,1005.1,1267,883,314,861,0,2,2,,,,,,
C10284,5131.319584,1,32539.78,26547.43,1267,883,315,861,0,2,2,,,,,,
C10285,5265.763713,1,410.24,44.71,1267,883,316,861,0,2,2,,,,,,
C10286,2.564117,0.181818,47.95,47.95,1267,883,317,861,0,2,2,,,,,,
C10287,1873.084577,1,126.57,126.57,1267,883,318,861,0,2,2,,,,,,
C10288,32.124999,0.272727,380.89,380.89,1267,883,319,861,0,2,2,,,,,,
C10289,1473.495809,1,414,0,1267,883,320,861,0,2,2,,,,,,
C10290,1504.82705,1,2010,630,1267,883,321,861,0,2,2,,,,,,
C10291,7645.108427,1,4693.15,4332.65,1267,883,322,861,0,2,2,,,,,,
C10292,1129.33758,1,498.96,0,1267,883,323,861,0,2,2,,,,,,
C10293,668.956687,1,224.2,148.12,1267,883,324,861,0,2,2,,,,,,
C10294,2302.184366,1,2856.57,922.84,1267,883,325,861,0,2,2,,,,,,
C10295,272.711518,0.818182,0,0,1267,883,326,861,0,2,2,,,,,,
C10296,4246.430225,1,0,0,1267,883,327,861,0,2,2,,,,,,
C10297,2420.761135,1,0,0,1267,883,328,861,0,2,2,,,,,,
C10298,2935.324966,1,409.63,351.87,1267,883,329,861,0,2,2,,,,,,
C10299,83.148283,0.636364,843.34,843.34,1267,883,330,861,0,2,2,,,,,,
C10300,5469.851311,1,0,0,1267,883,331,861,0,2,2,,,,,,
C10301,280.142117,1,2236.49,758.52,1267,883,332,861,0,2,2,,,,,,
C10302,5790.930626,1,464.51,399.41,1267,883,333,861,0,2,2,,,,,,
C10303,3605.714046,1,1779,1779,1267,883,334,861,0,2,2,,,,,,
C10304,3992.261885,1,0,0,1267,883,335,861,0,2,2,,,,,,
C10305,41.833264,1,456.36,0,1267,883,336,861,0,2,2,,,,,,
C10306,635.090434,0.818182,5758.71,2252.37,1267,883,337,861,0,2,2,,,,,,
C10307,1521.1681,1,245.98,245.98,1267,883,338,861,0,2,2,,,,,,
C10308,5547.092593,1,0,0,1267,883,339,861,0,2,2,,,,,,
C10309,2503.107213,1,733.9,733.9,1267,883,340,861,0,2,2,,,,,,
C10310,191.450711,1,1641.07,1641.07,1267,883,341,861,0,2,2,,,,,,
C10311,3621.70204,1,674.73,674.73,1267,883,342,861,0,2,2,,,,,,
C10312,2762.479434,1,2702.47,1526.31,1267,883,343,861,0,2,2,,,,,,
C10313,4338.606862,1,0,0,1267,883,344,861,0,2,2,,,,,,
C10314,388.873921,0.727273,1579.15,1462.35,1267,883,345,861,0,2,2,,,,,,
C10315,9261.310686,1,0,0,1267,883,346,861,0,2,2,,,,,,
C10316,208.131845,1,2161.38,451.5,1267,883,347,861,0,2,2,,,,,,
C10317,169.088238,1,1482.19,446.07,1267,883,348,861,0,2,2,,,,,,
C10318,133.911556,1,1446.05,544.45,1267,883,349,861,0,2,2,,,,,,
C10319,1613.34907,0.909091,0,0,1267,883,350,861,0,2,2,,,,,,
C10320,566.908563,1,397.06,303.7,1267,883,351,861,0,2,2,,,,,,
C10321,53.208422,1,498.17,459.02,1267,883,352,861,0,2,2,,,,,,
C10322,1329.967543,1,2009.12,1296.68,1267,883,353,861,0,2,2,,,,,,
C10323,515.904786,1,5359.02,2399.78,1267,883,354,861,0,2,2,,,,,,
C10324,927.041961,1,0,0,1267,883,355,861,0,2,2,,,,,,
C10325,1872.767651,1,0,0,1267,883,356,861,0,2,2,,,,,,
C10326,185.396312,1,0,0,1267,883,357,861,0,2,2,,,,,,
C10327,4823.822993,0.857143,0,0,1267,883,358,861,0,2,2,,,,,,
C10328,994.105777,1,126.2,126.2,1267,883,359,861,0,2,2,,,,,,
C10329,40.089221,1,225,0,1267,883,360,861,0,2,2,,,,,,
C10330,0.478714,0.090909,734.97,159,1267,883,361,861,0,2,2,,,,,,
C10331,4732.37354,1,14.95,0,1267,883,362,861,0,2,2,,,,,,
C10332,9206.811696,1,874.98,350,1267,883,363,861,0,2,2,,,,,,
C10333,6719.376505,1,0,0,1267,883,364,861,0,2,2,,,,,,
C10334,2233.074041,1,445.2,445.2,1267,883,365,861,0,2,2,,,,,,
C10335,1867.649838,1,0,0,1267,883,366,861,0,2,2,,,,,,
C10336,57.842746,1,689.34,0,1267,883,367,861,0,2,2,,,,,,
C10337,4194.033835,0.727273,2006.87,420.6,1267,883,368,861,0,2,2,,,,,,
C10338,2459.862339,1,678,678,1267,883,369,861,0,2,2,,,,,,
C10339,850.630114,1,0.05,0.05,1267,883,370,861,0,2,2,,,,,,
C10340,353.198215,1,3085.69,3032.97,1267,883,371,861,0,2,2,,,,,,
C10341,2669.160638,1,0,0,1267,883,372,861,0,2,2,,,,,,
C10342,92.440743,0.909091,1080,1080,1267,883,373,861,0,2,2,,,,,,
C10343,706.675991,1,2721.16,2417.41,1267,883,374,861,0,2,2,,,,,,
C10344,361.319366,1,3095.96,1383.56,1267,883,375,861,0,2,2,,,,,,
C10345,2324.086254,0.909091,0,0,1267,883,376,861,0,2,2,,,,,,
C10346,2922.487907,1,71.07,0,1267,883,377,861,0,2,2,,,,,,
C10347,98.364739,0.181818,65,0,1267,883,378,861,0,2,2,,,,,,
C10348,498.208616,1,4786.61,4397.64,1267,883,379,861,0,2,2,,,,,,
C10349,16.93339,0.454545,174.42,0,1267,883,380,861,0,2,2,,,,,,
C10350,3355.631092,1,242.88,0,1267,883,381,861,0,2,2,,,,,,
C10351,907.982017,1,216.94,216.94,1267,883,382,861,0,2,2,,,,,,
